review_id,employee_id,review_date,manager_id,score
RW-1001-2022,1001,01-01-2022,1006,8
RW-1001-2023,1001,01-01-2023,1006,9
RW-1002-2020,1002,"01-01-2020	",1005,8
RW-1002-2021,1002,01-01-2021,1005,9
RW-1002-2022,1002,01-01-2022,1005,7
RW-1002-2023,1002,01-01-2023,1005,8
RW-1003-2021,1003,01-01-2021,1005,7
RW-1003-2022,1003,01-01-2022,1005,9
RW-1003-2023,1003,01-01-2023,1005,8
RW-1004-2016,1004,01-01-2016,1006,8
RW-1004-2017,1004,01-01-2017,1006,7
RW-1004-2018,1004,01-01-2018,1006,9
RW-1004-2019,1004,01-01-2019,1006,8
RW-1004-2020,1004,01-01-2020,1006,7
RW-1004-2021,1004,01-01-2021,1006,7
RW-1004-2022,1004,01-01-2022,1006,8
RW-1004-2023,1004,01-01-2023,1006,9
RW-1005-2008,1005,01-01-2008,1007,8
RW-1005-2009,1005,01-01-2009,1007,8
RW-1005-2010,1005,01-01-2010,1007,9
RW-1005-2011,1005,01-01-2011,1007,9
RW-1005-2012,1005,01-01-2012,1007,9
RW-1005-2013,1005,01-01-2013,1007,9
RW-1005-2014,1005,01-01-2014,1007,8
RW-1005-2015,1005,01-01-2015,1007,8
RW-1005-2016,1005,01-01-2016,1007,7
RW-1005-2017,1005,01-01-2017,1007,8
RW-1005-2018,1005,01-01-2018,1007,9
RW-1005-2019,1005,01-01-2019,1007,8
RW-1005-2020,1005,01-01-2020,1007,8
RW-1005-2021,1005,01-01-2021,1007,9
RW-1005-2022,1005,01-01-2022,1007,9
RW-1005-2023,1005,01-01-2023,1007,7
RW-1009-2014,1009,01-01-2014,1006,8
RW-1009-2015,1009,01-01-2015,1006,7
RW-1009-2016,1009,01-01-2016,1006,7
RW-1009-2017,1009,01-01-2017,1006,8
RW-1009-2018,1009,01-01-2018,1006,8
RW-1009-2019,1009,01-01-2019,1006,7
RW-1009-2020,1009,01-01-2020,1006,9
RW-1009-2021,1009,01-01-2021,1006,9
RW-1009-2022,1009,01-01-2022,1006,9
RW-1009-2023,1009,01-01-2023,1006,9
